# Query Description
# Type of request:                 Extract data from a table
# Name of the selected table:      meandata
# Restrict with the SQL clause:    objtype = 'G' AND modbest between 26.5 AND 35.4 AND de2000>-30.0 AND -(modbest-bt)<-20

# Display the fields:              objname, al2000, de2000, l2, b2, ag, bve, t, type, v, e_v, (v/70), bt, e_bt, -(modbest-bt), it, e_it, ut, vt, modbest, e_modbest, 10*(10^(modbest/5))/1E6, logd25, hl_names(pgc)
# Order by:                        bt
# Description of each column
# objname: ------------- <NA>
#  al2000: ------------- <NA>
#  de2000: ------------- <NA>
#  l2: ----------------- <NA>
#  b2: ----------------- <NA>
#  ag: ----------------- <NA>
#  bve: ---------------- <NA>
#  t: ------------------ <NA>
#  type: --------------- <NA>
#  v: ------------------ <NA>
#  e_v: ---------------- <NA>
#  (v/70): ------------- <NA>
#  bt: ----------------- <NA>
#  e_bt: --------------- <NA>
#  -(modbest-bt): ------ <NA>
#  it: ----------------- <NA>
#  e_it: --------------- <NA>
#  ut: ----------------- <NA>
#  vt: ----------------- <NA>
#  modbest: ------------ <NA>
#  e_modbest: ---------- <NA>
#  10*(10^(modbest/5))/1E6:  <NA>
#  logd25: ------------- <NA>
#  hl_names(pgc): ------ <NA>
#-------|-------|-------|---|---|---|----|--|-----|--|----|-------|---|-----|--------------|---|-----|---|---|--------|----------|------------------------|-------|--------------
objname| al2000| de2000| l2| b2| ag| bve| t| type| v| e_v| (v/70)| bt| e_bt| -(modbest-bt)| it| e_it| ut| vt| modbest| e_modbest| 10*(10^(modbest/5))/1E6| logd25| hl_names(pgc)
PGC069129|22.5526178|-17.0678166|43.1443712|-56.5534903|0.17||-1.7|S0|7578.5|25.3|108.264285714286|15.043|0.494|-20.161|12.57|0.081|||35.204|0.144|109.849911946474|1.102|2MASXJ22330941-1704040,6dFJ2233094-170404,MCG-03-57-021,NPM1G-17.0484,PGC069129,PGC069130
PGC030579|10.4233859|55.5249761|155.5499466|51.3356407|0.051||5|Sc|7586.2|2.7|108.374288504464|15.044|0.317|-20.232|14.196|0.125|15.95||35.276|0.139|113.553413851838|0.891|2MASXJ10252415+5531300,CGCG266-044,MCG+09-17-064,PGC030579,SDSSJ102524.20+553129.7,SDSSJ102524.20+553129.8,UZC102206+55460,[RC2]A1022+55
UGC11415|19.1845817|73.4266818|104.7271562|24.5392651|0.611||3.6|Sbc|7504.2|8.2|107.202859933036|15.045|0.32|-20.242|||||35.287|0.139|114.129982258723|1.022|CGCG341-020,IRAS19120+7320,KPG538B,PGC062867,UGC11415,UZC191154+73180,VV414:
PGC036206|11.6720582|3.0007847|264.6986135|60.4811784|0.098||3.1|Sb|8046|3.2|114.942857142857|15.046|0.494|-20.31|13.635|0.078|15.937||35.356|0.134|117.814785960431|0.822|2MASXJ11401943+0300024,AGC211323,CGCG040-024,MCG+01-30-008,NPM1G+03.0315,PGC036206,SDSSJ114019.40+030002.8,SDSSJ114019.40+030002.9,SDSSJ114019.41+030002.8,UZC113742+03160
UGC04380|8.4088473|54.8538708|163.2115906|35.1195599|0.251||5.9|Sc|7479.9|3.7|106.855712890625|15.046|0.27|-20.194|13.779|0.112|16.095||35.24|0.142|111.686411107433|0.958|2MASXJ08243181+5451137,CGCG263-030,MCG+09-14-037,PGC023598,SDSSJ082431.85+545113.9,SDSSJ082431.86+545113.9,SDSSJ082431.86+545114.0,UGC04380,UZC082036+55000
PGC025622|9.1209286|37.5048269|185.6199165|42.2183578|0.083||-2|S0|7306.4|3.1|104.377141462054|15.046|0.378|-20.122|13.289|0.059|16.331||35.168|0.146|108.043800794727|0.945|2MASXJ09071537+3730175,CGCG180-036:,MCG+06-20-026,NPM1G+37.0217,PGC025622,SDSSJ090715.34+373017.3,SDSSJ090715.34+373017.4,UZC090406+37420
UGC11905|22.0984944|20.6392778|78.6286281|-27.6576595|0.351||4.4|Sbc|7458.1|8.4|106.544287109375|15.046|0.282|-20.182|||||35.228|0.143|111.070858372351|1.225|2MASXJ22055458+2038214,2ZW163,CGCG451-008,KIG0946,MCG+03-56-008,NPM1G+20.0563,PGC068019,UGC11905,UZC220330+20240
IC5111|21.4696712|2.4740015|55.7780736|-32.8278723|0.294||4|Sbc|7567.6|4.7|108.108572823661|15.047|0.41|-20.193|||||35.24|0.142|111.686411107433|0.891|2MASXJ21281086+0228274,2MIG2913,AGC310099,CGCG375-041,IC5111,KIG0917,MCG+00-54-021,PGC066811,UZC212536+02150
NGC2878|9.4298489|2.089633|230.7966065|34.8451831|0.251||1.7|SABa|7334.6|44.1|104.780001395089|15.049|0.481|-20.082|13.103|0.253|16.452||35.131|0.15|106.21848524413|1.015|2MASXJ09254746+0205224,AGC005022,CGCG006-042,LAMOSTJ092547.45+020522.9,MCG+00-24-014,NGC2878,NPM1G+02.0216,PGC026739,SDSSJ092547.46+020522.5,SDSSJ092547.46+020522.6,UGC05022,UZC092312+02180,[EKS2015]RS1319
PGC200270|11.3462702|0.4706922|259.9472179|55.5857884|0.178||-2|S0|7237|50|103.385714285714|15.049|0.342|-20.069|14.145|0.091|16.553||35.118|0.151|105.584460726878|0.866|2MASXJ11204655+0028145,NPM1G+00.0338,PGC200270,SDSSJ112046.57+002814.2,UGC06361:,UZC111818+00440,[EKS2015]RS0446,[FN2007]0790
PGC030918|10.494485|-17.0775155|260.9708848|34.0003796|0.282||10|I|8000|39.2|114.285714285714|15.05|0.5|-20.249|14.018|0.074|||35.299|0.138|114.762488604345|0.953|2MASXJ10294014-1704389,6dFJ1029402-170439,FLASHJ102940.23-170439.4,IRAS10272-1649,MCG-03-27-017,PGC030918,VV651
PGC016207|4.8714444|-6.1530278|204.3752711|-29.2395982|0.198||4.2|SABb|7639.6|39|109.137144252232|15.05|0.5|-20.13|13.789|0.099|||35.18|0.146|108.642577630186|0.916|2MASXJ04521720-0609108,6dFJ0452172-060911,MCG-01-13-029,PGC016207
PGC032197|10.7785444|-16.1331389|264.2878541|37.2090514|0.226||0.2|S0-a|8120.5|13.8|116.007142857143|15.05|0.363|-20.295|||||35.345|0.135|117.219602450329|1.16|2MASXJ10464276-1607593,MCG-03-28-003,NPM1G-15.0378,PGC032197,PGC155847
PGC010278|2.7165566|-11.6709394|187.8246393|-59.6097552|0.126||1.9|Sab|7227.4|39.3|103.248570033482|15.05|0.377|-20.005|||||35.055|0.154|102.565207039515|0.739|2MASXJ02425959-1140153,6dFJ0242596-114016,MCG-02-07-076,PGC010278
PGC072508|23.8185327|-7.0485462|83.717956|-65.0607704|0.126||-1|S0-a|8122.8|6|116.039997209821|15.05|0.359|-20.306|||||35.356|0.134|117.814785960431|1.03|2MASXJ23490671-0702547,6dFJ2349067-070255,HIPASSJ2349-07,MCG-01-60-044,PGC072508
PGC020295|7.1692124|28.294342|189.0204478|16.263762|0.302||||7781|43|111.157142857143|15.05|0.412|-20.226|||||35.276|0.14|113.553413851838|0.83|2MASXJ07100922+2817401,CGCG146-032,NPM1G+28.0098,PGC020295,UZC070700+28230
ESO428-013|7.2739762|-29.6207849|242.1361078|-8.1139053|0.875||-1|S0-a|7993|9.1|114.185714285714|15.05|0.2|-20.214|12.52|0.077|||35.264|0.14|112.927571246804|1.186|2MASXJ07162633-2937150,CGMW2-00700,ESO428-013,ESOLV4280130,PGC020548
ESO596-027|20.3879642|-21.1868544|22.6462435|-29.2422649|0.252||-2|S0|7855.1|35.7|112.215715680804|15.05|0.2|-20.249|12.816|0.072|||35.299|0.138|114.762488604345|0.856|2MASXJ20231667-2111133,ESO596-027,ESOLV5960270,IRAS20203-2120,PGC064587
PGC053413|14.9425356|-2.1063925|353.7986381|48.0182415|0.283||4.7|S?|6933.1|2.3|99.044287109375|15.051|0.262|-20.004|13.908|0.151|16.143||35.055|0.154|102.565207039515|0.877|2MASXJ14563313-0206226,6dFJ1456331-020623,CGCG020-034,IRAS14539-0154,PGC053413,SDSSJ145633.14-020623.0,SDSSJ145633.15-020623.0,SDSSJ145633.15-020623.1,UZC145400-01550
PGC042786|12.7205268|31.0849657|146.8112716|85.6565403|0.069|1|4.7|SABc|7005.6|1.8|100.080001395089|15.051|0.675|-20.054|13.32|0.085|15.944||35.105|0.151|104.954220740045|0.921|2MASXJ12431391+3105057,AGC220963,CGCG159-061,MCG+05-30-064,NPM1G+31.0253,PGC042786,PGC1930989,SDSSJ124313.89+310505.8,SDSSJ124313.90+310505.8,SDSSJ124313.90+310505.9,UZC124048+31220,[RGD2016]J124313.90+310505.9
PGC032011|10.7339454|4.6629695|243.7449286|52.2368792|0.154||4|Sbc|7966.1|4.1|113.801429966518|15.051|0.339|-20.271|13.988|0.059|16.385||35.322|0.136|115.984437137635|0.872|2MASXJ10440218+0439465,AGC201586,CGCG038-003,MCG+01-28-003,PGC032011,SDSSJ104402.20+043946.8,SDSSJ104402.21+043946.8,SDSSJ104402.21+043946.9,UZC104124+04560
PGC048764|13.7542105|19.5787368|4.3160618|75.5397268|0.106||0|S0-a|6913.3|2.3|98.76142578125|15.052|0.363|-20.016|13.607|0.071|16.5||35.068|0.153|103.181101229175|0.984|2MASXJ13451513+1934436,CGCG102-052,NPM1G+19.0364,PGC048764,SDSSJ134515.15+193443.2,SDSSJ134515.16+193443.3,UZC134254+19500
UGC08527|13.5484025|9.5204448|333.9485325|69.8546444|0.135||7.8|Sd|6981.4|2.9|99.7342843191964|15.052|0.32|-20.028|13.535|0.258|16.767||35.08|0.153|103.752929069538|1.028|2MASXJ13325422+0931132,2MFGC10899,AGC008527,CGCG073-022,IRAS13304+0946,MCG+02-35-002,PGC047686,SDSSJ133254.24+093113.8,UGC08527,UZC133024+09470
PGC013599|3.7020472|4.2332222|182.3134601|-38.2375466|0.836||4.4|Sbc|7324.9|6|104.641427176339|15.052|0.41|-20.054|||||35.106|0.151|105.002538513261|0.874|2MASXJ03420737+0413596,AGC130320,CGCG417-005,KIG0132,PGC013599,UZC033930+04050
IC1074|14.8659227|51.264882|87.8660425|56.859814|0.099||3.5|Sbc|7756.9|4.1|110.812855747768|15.053|0.314|-20.292|13.473|0.059|16.051||35.345|0.135|117.219602450329|0.962|2MASXJ14515733+5115535,CGCG273-030,IC1074,KUG1450+514,MCG+09-24-047,PGC053084,SDSSJ145157.32+511553.4,SDSSJ145157.32+511553.5,UGC09572,UZC145024+51290
PGC053658|15.0259712|49.11233|83.0450267|56.7085506|0.077||3|Sb|7789.7|4.4|111.281431361607|15.053|0.392|-20.303|13.628|0.122|16.16||35.356|0.134|117.814785960431|0.908|2MASXJ15013411+4906416,CGCG248-046,MCG+08-27-055,PGC053658,SDSSJ150133.35+490644.7,SDSSJ150133.35+490644.8,SDSSJ150133.36+490644.8,SDSSJ150133.36+490644.9,UZC145948+49180
NGC2807|9.2834823|20.0365142|209.0921118|40.7163274|0.164||-2|S0|8071|32|115.3|15.053|0.5|-20.303|13.505|0.084|16.684||35.356|0.134|117.814785960431|0.914|2MASXJ09170065+2002108,CGCG091-051,MCG+03-24-031,NGC2807,PGC026213,SDSSJ091700.66+200211.3,SDSSJ091700.66+200211.4,[KG2002]J091700.07+200212.6,[KG2002]J091700.63+200211.1
PGC028847|9.9869534|57.9522442|155.0287865|47.0179786|0.048||-5|E|7750|22|110.714285714286|15.054|0.358|-20.268|13.415|0.085|16.481||35.322|0.137|115.984437137635|1.079|2MASXJ09591300+5757080,CGCG289-025,MCG+10-14-056,PGC028847,SDSSJ095913.02+575708.2,SDSSJ095913.03+575708.2,UZC095542+58120
PGC040982|12.4705779|7.6078728|286.1325822|69.7192311|0.121||3.3|Sb|7417.9|6.5|105.969998604911|15.055|0.259|-20.137|14.494|0.063|16.434||35.192|0.145|109.244672876289|0.793|2MASXJ12281408+0736286,AGC220634,ARK367,CGCG042-120,MCG+01-32-072,NPM1G+07.0292,PGC040982,SDSSJ122814.06+073628.4,SDSSJ122814.07+073628.4,UZC122542+07530,VCC1084
NGC3925|11.8558237|21.8891585|230.6531466|75.3752992|0.116||1.5|SABa|7939|27|113.414285714286|15.055|0.356|-20.301|13.339|0.072|16.54||35.356|0.135|117.814785960431|1.089|2MASXJ11512100+2153210,CGCG127-075,MCG+04-28-071,NGC3925,PGC037078,SDSSJ115120.96+215320.8,UZC114842+22110
PGC021870|7.8148103|28.9016386|191.6050563|24.4346037|0.143||-4|E|8114|62|115.914285714286|15.056|0.358|-20.322|13.148|0.078|16.411||35.378|0.134|119.014443549259|0.932|2MASXJ07485331+2854061,CGCG148-031,MCG+05-19-010,NPM1G+29.0113,PGC021870,SDSSJ074853.30+285405.8,UZC074542+29010
PGC060015|17.2935813|48.6377817|75.0466814|35.1931091|0.055||||7326|17|104.657142857143|15.056|0.41|-20.172|||||35.228|0.142|111.070858372351|0.86|2MASXJ17173689+4838158,CGCG252-036,IRAS17163+4841,PGC060015,UZC171618+48410
PGC028067|9.7794519|13.5298358|220.9516271|44.9051189|0.182||4.2|Sbc|7253|1.8|103.614285714286|15.056|0.396|-20.062|14.34|0.071|16.164||35.118|0.149|105.584460726878|0.84|2MASXJ09464605+1331472,AGC190497,CGCG063-063,MCG+02-25-032,PGC028067,SDSSJ094646.01+133147.5,SDSSJ094646.02+133147.5,UZC094400+13460
IC4230|13.3664409|26.7338206|31.3525776|83.1807498|0.082||1|Sa|7274.5|3|103.921428571429|15.056|0.299|-20.124|13.321|0.055|16.503||35.18|0.145|108.642577630186|1.074|2MASXJ13215917+2644015,2MFGC10698,CGCG161-032,IC4230,MCG+05-32-008,PGC046678,SDSSJ132159.19+264401.8,SDSSJ132159.20+264401.9,UGC08402,UZC131942+27000,[RGD2016]J132159.19+264401.9
PGC055698|15.6514387|5.5712683|12.2240547|44.7039337|0.315||-5|E|7776|3|111.085714285714|15.057|0.318|-20.265|13.69|0.089|16.385||35.322|0.137|115.984437137635|0.822|2MASXJ15390513+0534169,ARK481,CGCG050-058,MCG+01-40-010,NPM1G+05.0476,PGC055698,SDSSJ153905.16+053416.5,SDSSJ153905.17+053416.5,UZC153636+05440
UGC11947|22.2050139|11.4958056|72.6399809|-35.4029492|0.352||3.1|Sb|7911.6|29.1|113.022858537946|15.057|0.319|-20.276|||||35.333|0.136|116.57355387398|0.951|2MASXJ22121805+1129449,AGC011947,CGCG428-043,MCG+02-56-016,PGC068270,UGC11947,UZC220948+11150
UGC02426|2.9525583|5.3209167|170.7825489|-45.5496912|0.591||3|Sb|7419.2|8|105.98857421875|15.057|0.319|-20.086|13.099|0.031|||35.143|0.148|106.80714621305|0.951|2MASXJ02570921+0519153,CGCG415-039,DRCG09-003,MCG+01-08-025,PGC011150,UGC02426,UZC025430+05070
IC3039|12.2090403|12.3099449|269.4363359|72.6017194|0.129||4|SBbc|6995.6|3|99.9371442522321|15.058|0.185|-20.009|14.254|0.32|16.673||35.067|0.153|103.133621605158|0.957|2MASXJ12123256+1218354,AGC220199,ALFALFA1-159,CGCG069-084,IC3039,KUG1209+125,MCG+02-31-048,PGC038919,SDSSJ121232.57+121835.5,UZC121000+12350,VCC0059
IC3263|12.3973864|28.1994684|201.397212|83.7976961|0.102||4.3|SBbc|7803.7|3.1|111.481431361607|15.059|0.282|-20.263|13.875|0.16|16.316|14.399|35.322|0.136|115.984437137635|0.776|2MASXJ12235054+2811581,AGC220500,CGCG158-098,IC3263,MCG+05-29-078,PGC040270,SDSSJ122350.58+281158.1,SDSSJ122350.59+281158.2,UZC122118+28290
UGC11038|17.8660861|72.1474444|102.8678048|30.2675971|0.177||5.9|Sc|7552.8|24.5|107.897140066964|15.059|0.319|-20.24|||||35.299|0.138|114.762488604345|0.94|2MASXJ17515791+7208508,CGCG340-024,PGC061015,UGC11038,UZC175248+72090
SDSSJ120603.75+203620.1|12.101041|20.6056008|242.6888246|77.7558595|0.143||0.5|S?|7717.6|3.9|110.251429966518|15.06|0.5|-20.227|13.58|0.149|16.389||35.287|0.138|114.129982258723|1.09|NRGb177.088,SDSSJ120603.75+203620.0,SDSSJ120603.75+203620.1,UGC07091:
PGC033252|11.0249489|-12.4495753|265.4105978|42.2734033|0.152||4.2|Sbc|7791.3|39.2|111.304282924107|15.06|0.5|-20.192|13.149|0.127||12.7|35.252|0.141|112.305177934512|0.969|2MASXJ11012981-1226587,6dFJ1101298-122659,IRAS10589-1210,MCG-02-28-039,PGC033252,PGC952598
PGC040372|12.4074314|13.2333113|277.1751339|74.7388116|0.202||4.4|Sbc|7637.2|2|109.102859933036|15.06|0.252|-20.204|14.315|0.128|16.441||35.264|0.14|112.927571246804|0.846|2MASXJ12242675+1313595,AGC220518,ALFALFA1-301,CGCG070-054,MCG+02-32-030,PGC040372,SDSSJ122426.74+131400.3,SDSSJ122426.75+131400.4,UZC122154+13310,VCC0729
PGC045982|13.2308186|-3.6062164|313.7713258|58.7930703|0.135||3|Sb|8062.2|3.5|115.174288504464|15.06|0.327|-20.307|13.675|0.063|16.602||35.367|0.134|118.413199539969|1.065|2MASXJ13135093-0336220,2MFGC10548,6dFJ1313510-033622,CGCG016-023,IRAS13112-0320,PGC045982,PGC1069110,SDSSJ131350.95-033622.6,SDSSJ131350.96-033622.5,UZC131112-03200
PGC067734|21.9754389|36.8618889|88.5123472|-14.1992849|0.762||-5|E|7076|26|101.085714285714|15.06|0.5|-20.071|||||35.131|0.149|106.21848524413|0.827|2MASXJ21583158+3651428,MCG+06-48-002,NPM1G+36.0467,PGC067734
PGC047801|13.5705076|9.6354459|334.9418735|69.8017953|0.139||-2|S0|7282.2|2.5|104.031431361607|15.06|0.368|-20.108|13.362|0.091|16.315||35.168|0.146|108.043800794727|0.909|2MASXJ13341383+0938080,CGCG073-029,NPM1G+09.0336,PGC047801,PGC1367872,SDSSJ133413.81+093807.6,SDSSJ133413.82+093807.6,UZC133142+09540
PGC070033|22.9290143|-6.4532697|64.6085043|-55.6173122|0.187||4.9|Sc|8089.5|5.6|115.564285714286|15.06|0.5|-20.296|13.455|0.075|||35.356|0.134|117.814785960431|0.914|2MASXJ22554445-0627118,6dFJ2255445-062712,MCG-01-58-005,PGC070033,SDSSJ225544.45-062711.7
PGC016818|5.1472875|-0.5870268|201.135515|-22.9485358|0.419||0.5|Sa|7786.3|25|111.232854352679|15.06|0.326|-20.168|12.85|0.074|||35.228|0.142|111.070858372351|1.05|2MASXJ05085022-0035130,6dFJ0508502-003513,CGCG395-002,MCG+00-14-001,PGC016818,UZC050618-00380
IC1309|20.0504222|-17.2321111|24.8033102|-23.3471733|0.632||4|SABb|7928.5|3|113.264285714286|15.06|0.5|-20.262|12.829|0.088|||35.322|0.136|115.984437137635|0.938|2MASXJ20030152-1713556,HIPASSJ2003-17,IC1309,IRAS20001-1722,PGC064030
PGC060764|17.7301493|48.04098|74.7912875|30.8060995|0.122||5.9|SBc|7352|17|105.028571428571|15.061|0.373|-20.179|||||35.24|0.142|111.686411107433||2MASXJ17434854+4802272,CGCG253-031,IRAS17424+4803,NPM1G+48.0361,PGC060764,SDSSJ174348.53+480227.5,UZC174230+48030
PGC043256|12.8066893|26.8578666|234.5503628|89.2715038|0.058||0.8|SBa|7400.9|2.2|105.727141462054|15.061|0.337|-20.155|13.311|0.061|16.34||35.216|0.143|110.458698218031|0.979|2MASXJ12482407+2651281,CGCG159-079,MCG+05-30-088,NPM1G+27.0381,PGC043256,SDSSJ124824.07+265128.4,UZC124554+27080,[RC2]A1245+27B,[RGD2016]J124824.07+265128.5
ESO473-006|0.2562889|-24.0596944|51.6160801|-81.3126639|0.089||-1|S0-a|7559.9|33.5|107.998570033482|15.062|0.427|-20.106|13.376|0.252|||35.168|0.147|108.043800794727|0.834|2MASXJ00152271-2403347,6dFJ0015227-240335,DRCG01-011,DUKST473-011,ESO473-006,ESOLV4730060,IRAS00128-2420,MCG-04-01-027,PGC001029,PGC198146
ESO410-013|0.4988395|-27.4971265|27.2850956|-85.2087039|0.08||1.3|Sa|7328.3|8.4|104.689997209821|15.062|0.198|-20.031|13.75|0.077|||35.093|0.152|104.375772055067|1.01|2DFGRSS206Z164,2MASXJ00295582-2729500,6dFJ0029558-272950,ESO410-013,ESOLV4100130,MCG-05-02-009,PGC001833
PGC058175|16.4549722|3.072|17.6808271|33.1782398|0.326||1|Sa|8027|3.8|114.671428571429|15.063|0.41|-20.327|||||35.39|0.132|119.674019493071|0.836|2MASXJ16271790+0304192,AGC261116,CGCG052-020:,MCG+01-42-003,PGC058175,UZC162448+03110
PGC135368|22.9541125|-20.9670789|40.0285436|-63.2759349|0.134||1|Sa|7836.2|29.1|111.945717075893|15.063|0.292|-20.201|||||35.264|0.14|112.927571246804|0.96|2MASXJ22571481-2058014,6dFJ2257148-205801,NPM1G-21.0554,PGC135368,PGC194550
PGC045584|13.149225|-3.7060556|311.4087032|58.8771089|0.105||5|SABc|7697.7|7|109.967145647321|15.064|0.351|-20.2|13.819|0.076|||35.264|0.14|112.927571246804|0.901|2DFGRSN133Z017,2MASXJ13085721-0342218,CGCG016-009,KIG0573,MCG+00-34-007,PGC045584,UZC130624-03250
PGC047732|13.5562566|54.9490814|110.4239495|61.1491326|0.039||2|SBab|7511|22|107.3|15.064|0.433|-20.211|13.242|0.066|16.279||35.275|0.14|113.501161323698|0.956|2MASXJ13332252+5456565,CGCG271-051,MCG+09-22-079,NPM1G+55.0181,PGC047732,SDSSJ133322.51+545656.8,SDSSJ133322.52+545656.7,SDSSJ133322.52+545656.8,UZC133124+55130
UGC09055|14.1644259|14.8724063|3.0013499|68.0229892|0.078||3.1|SBb|7886.2|2.7|112.660002790179|15.064|0.308|-20.292|14.35|0.051|16.403||35.356|0.135|117.814785960431|0.886|2MASXJ14095190+1452205,AGC009055,CGCG103-091,KUG1407+151,MCG+03-36-062,PGC050553,SDSSJ140951.93+145220.6,SDSSJ140951.94+145220.6,UGC09055,UZC140730+15060
PGC044438|12.9717388|29.1286168|86.214424|87.491508|0.053||-2.2|S0|7892.5|3.1|112.75|15.064|0.346|-20.292|13.952|0.117|16.602||35.356|0.134|117.814785960431|0.879|2MASXJ12581821+2907437,AGC221216,CGCG160-062,LAMOSTJ125818.26+290743.5,MCG+05-31-045:,PGC044438,SDSSJ125818.23+290743.6,SDSSJ125818.24+290743.6,UZC125554+29240,[MO2001]J125818.3+290739.0,[RGD2016]J125818.23+290743.7
PGC061398|18.0959875|34.7513611|61.2033574|23.8724117|0.238||||7388.5|5.6|105.55|15.064|0.41|-20.176|||||35.24|0.142|111.686411107433|0.835|2MASXJ18054549+3445048,CGCG200-003,IRAS18039+3444,MCG+06-40-003,PGC061398,UZC180354+34450
PGC170366|15.1673167|-10.8505833|349.107554|39.2873952|0.458||-2|S0|7362.2|37.3|105.174288504464|15.065|0.442|-20.115|12.327|0.125|||35.18|0.146|108.642577630186|1.024|2MASXJ15100233-1051019,6dFJ1510023-105102,NPM1G-10.0554,PGC170366
IC5326|23.4931058|-28.8311915|22.7647088|-71.8713217|0.101||3.5|Sb|7265|8.9|103.785714285714|15.065|0.474|-20.015|13.563|0.396|||35.08|0.152|103.752929069538|1.008|2MASXJ23293518-2849523,6dFJ2329352-284952,AGC036098,ESO470-011,ESOLV4700110,IC5326,MCG-05-55-015,PGC071581
PGC068801|22.4153806|9.5158763|73.7388151|-38.9778033|0.261||||7723|26|110.328571428571|15.065|0.375|-20.211|||||35.276|0.139|113.553413851838||2MASXJ22245530+0930580,CGCG404-013,NPM1G+09.0565,PGC068801,UZC222224+09150
PGC059133|16.8589722|-3.0964306|15.2613161|24.7952936|1.147||4.1|Sbc|7174.4|9.6|102.491427176339|15.065|1.246|-20.078|11.67|0.077|||35.143|0.148|106.80714621305|1.252|2MASXJ16513230-0305469,6dFJ1651323-030547,AGC560017,HIPASSJ1651-03,IRAS16489-0300,MCG-01-43-002,NPM1G-03.0555,PGC059133,UGCA414
ESO570-020|11.3947064|-22.2706104|277.5489708|36.2384593|0.147||3.2|Sb|8306.2|55.4|118.660002790179|15.065|0.39|-20.325|13.335|0.075|||35.39|0.133|119.674019493071|0.863|6dFJ1123410-221614,ESO570-020,MCG-04-27-009,PGC034991
UGC05856|10.7469369|38.1811086|182.2219211|61.326332|0.07||3|Sb|7705.6|3.1|110.080001395089|15.066|0.269|-20.233|13.596|0.073|16.3||35.299|0.138|114.762488604345|0.916|2MASXJ10444899+3810525,2MFGC08362,CGCG184-009,IRAS10419+3826,MCG+06-24-008,PGC032071,SDSSJ104448.96+381051.6,SDSSJ104448.97+381051.6,UGC05856,UZC104200+38260
PGC049500|13.9246464|6.5964076|342.365031|64.4468529|0.111||-5|E|7202.6|2.9|102.894287109375|15.067|0.294|-20.076|14.369|0.1|15.918||35.143|0.148|106.80714621305|0.789|2MASXJ13552875+0635474,AGC231014,CGCG046-002,IRAS13529+0650,MRK1366,NPM1G+06.0397,PGC049500,SDSSJ135528.74+063547.2,UZC135254+06510
PGC034001|11.1883439|35.3856141|185.5690479|67.1416397|0.09||3|SBb|7489.8|2.8|106.997140066964|15.068|0.332|-20.172|13.513|0.217|16.672||35.24|0.142|111.686411107433|0.889|2MASXJ11111803+3523079,AGC727849,CGCG185-016,MCG+06-25-018,PGC034001,SDSSJ111118.04+352308.3,SDSSJ111118.04+352308.4,UZC110830+35400
ESO575-004|12.8446793|-20.3350122|302.691032|42.5364075|0.259||5.5|Sc|7743.5|12|110.621428571429|15.068|0.209|-20.184|13.345|0.096|||35.252|0.141|112.305177934512|0.978|2MASXJ12504087-2020060,6dFJ1250409-202006,AGC028875,ESO575-004,ESOLV5750040,HIPASSJ1250-20,MCG-03-33-009,PGC043476
PGC060279|17.4337781|39.3195603|64.0812897|32.6583551|0.156||||7881|31|112.585714285714|15.068|0.328|-20.311|||||35.379|0.133|119.069443400103||2MASXJ17260157+3919102,CGCG226-015,NPM1G+39.0444,PGC060279,UZC172424+39220
PGC037645|11.9677613|21.2478867|235.8593801|76.4942618|0.12||0.5|Sa|7425.8|5.8|106.082854352679|15.068|0.387|-20.136|13.423|0.104|16.132||35.204|0.144|109.849911946474|0.879|2MASXJ11580391+2114523,2MIG1659,AGC210951,CGCG127-119,MCG+04-28-106,PGC037645,SDSSJ115803.95+211452.5,SDSSJ115803.96+211452.5,UZC115530+21320,[RGD2016]J115803.96+211452.5
UGC00831|1.3027667|38.4431389|128.6631497|-24.1309367|0.192||4.1|Sbc|7305.2|17.2|104.360002790179|15.068|0.318|-20.1|||||35.168|0.146|108.043800794727|0.89|2MASXJ01180996+3826353,CGCG520-036,CGCG521-001,MCG+06-04-001,PGC004674,UGC00831,UZC011518+38110
UGC11296|18.6165873|30.6158134|59.4484648|16.2876351|0.768||3.9|Sbc|7601.7|6|108.595717075893|15.068|0.318|-20.231|||||35.299|0.138|114.762488604345|0.89|CGCG173-017,CGMW5-05831,MCG+05-44-007,PGC062130,UGC11296,UZC183500+30340
IC3713|12.7342135|41.1688842|128.6364771|75.8775317|0.069||-1|S0-a|7111.3|3|101.589997209821|15.069|0.435|-20.074|13.492|0.065|16.42||35.143|0.148|106.80714621305|0.844|2MASXJ12440320+4110079,CGCG216-023,IC3713,MCG+07-26-046,NPM1G+41.0305,PGC042867,SDSSJ124403.16+411008.1,SDSSJ124403.17+411008.1,UZC124136+41270
NGC4559A|12.61484|27.862064|199.2827046|86.6916666|0.076||1.2|Sa|7486.4|8|106.948570033482|15.069|0.426|-20.171|13.522|0.181|16.304|14.489|35.24|0.142|111.686411107433|0.607|2MASXJ12365341+2751439,AGC007789,CGCG159-031,IC3592,IRAS12344+2807,MCG+05-30-038,MRK0775,NGC4559A,PGC042097,SDSSJ123653.44+275143.2,SDSSJ123653.44+275143.3,UGC07789,UZC123424+28090,[RGD2016]J123653.44+275143.3
